id_poi;id_cs
node/256217021;10124
way/106781081;79122
way/218287189;523593
way/59054462;523593
node/244915779;523615
node/9055595722;573488
node/435177263;588947
node/583314733;594118
way/432736208;689456
way/256595425;705413
way/53103191;13492
node/1073821701;542943
node/1073821701;542987
node/1073821701;542989
node/465199315;700825
way/223066436;168
way/123649825;168
node/337539332;14860
node/337539336;14860
node/4540821113;14860
way/61429939;15714
node/3331226050;15714
node/5873719227;18612
node/332019130;132196
node/3465535270;273730
node/1558997664;273730
node/1383619500;379408
node/8510003343;384500
node/632359952;386316
node/5387652768;560241
node/253837605;705417
way/137852167;181248
node/515978314;15275
node/386147619;154850
node/471195751;155036
way/25619237;155058
way/25622584;155058
node/567092119;14891
node/732716856;14894
node/1556126816;22510
way/92900858;136124
node/6577669052;249988
way/762089812;297074
way/51174738;269320
node/3200999541;180782
way/231526845;59348
way/137387240;120866
way/178009334;179568
way/485391586;179568
way/491896316;505727
way/720451436;384452
way/32234698;384466
way/168062843;159346
way/207634240;244394
way/41822475;709035
way/93584915;228
node/5692484721;13344
way/108235820;328944
node/255299140;10315
node/6133667583;385174
way/47703468;490326
node/287100028;385352
node/2389406452;424272
